Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine,Brand
Volkswagen ID.4,43500.0,2023,10.0,Automatic,Electric,5.0,1.0,5.0,,Volkswagen
Toyota Aygo,9749.0,2019,11840.0,Manual,Petrol,4.0,3.0,5.0,1.0,Toyota
Nissan Qashqai,19245.0,2022,10730.0,Manual,Hybrid,5.0,1.0,5.0,1.3,Nissan
Volkswagen Golf,23495.0,2021,28830.0,Semi-automatic,Hybrid,5.0,2.0,5.0,1.4,Volkswagen
Honda Jazz,19600.0,2022,4402.0,Automatic,Hybrid,5.0,1.0,5.0,1.5,Honda
SEAT Arona,12745.0,2019,28050.0,Manual,Petrol,5.0,2.0,5.0,1.0,SEAT
Nissan Leaf,16000.0,2021,11996.0,Automatic,Electric,5.0,1.0,5.0,,Nissan
Dacia Jogger,16573.0,2023,8803.0,Manual,Petrol,7.0,1.0,5.0,1.0,Dacia
Renault Captur,9454.0,2018,32000.0,Manual,Petrol,5.0,2.0,5.0,0.9,Renault
Peugeot 308,10823.0,2017,59677.0,Semi-automatic,Diesel,5.0,3.0,5.0,2.0,Peugeot
Peugeot 3008,25029.0,2021,12106.0,Semi-automatic,Diesel,5.0,1.0,5.0,1.5,Peugeot
Volkswagen T-Roc,17495.0,2019,19475.0,Manual,Petrol,5.0,1.0,5.0,1.0,Volkswagen
Volkswagen Polo,12895.0,2018,29429.0,Manual,Petrol,5.0,1.0,5.0,,Volkswagen
Citroen C3 Aircross,11900.0,2020,28814.0,Manual,Petrol,5.0,1.0,5.0,1.2,Citroen
Citroen C5 Aircross,17800.0,2021,16447.0,Semi-automatic,Diesel,5.0,1.0,5.0,1.5,Citroen
Audi Q2,13874.0,2018,48502.0,Manual,Petrol,5.0,2.0,5.0,1.4,Audi
Peugeot 208,18554.0,2022,1682.0,Automatic,Electric,5.0,1.0,5.0,,Peugeot
Hyundai Tucson,14301.0,2020,36936.0,Manual,Diesel,5.0,1.0,5.0,1.6,Hyundai
Renault Captur,10157.0,2019,27311.0,Manual,Diesel,5.0,2.0,5.0,1.5,Renault
Volkswagen Tiguan,18495.0,2020,44027.0,Manual,Petrol,5.0,2.0,5.0,1.5,Volkswagen
Renault Zoe,5500.0,2016,42146.0,Automatic,Electric,5.0,4.0,5.0,,Renault
Citroen C3,6200.0,2016,51247.0,Manual,Petrol,5.0,3.0,5.0,1.2,Citroen
Honda CR-V,29500.0,2021,13355.0,Automatic,Hybrid,5.0,1.0,5.0,2.0,Honda
