Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine
Vauxhall Mokka X,"£11,270",2019,"30,599 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.4
Volkswagen Taigo,"£25,700",2023,"2,825 miles",Automatic,Petrol,5 seats,147.5 bhp,5 doors,1.5
Nissan Qashqai,"£19,764",2022,"7,245 miles",Manual,Hybrid,5 seats,1 owner(s),5 doors,1.3
Fiat 500X,"£11,750",2020,"28,191 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Toyota bZ4X,"£39,990",2023,"6,503 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Peugeot 208,"£17,500",2023,"5,256 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.2
Volkswagen ID.4,"£30,000",2023,"2,465 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Toyota Aygo,"£10,340",2021,"18,102 miles",Manual,Petrol,4 seats,1 owner(s),5 doors,1
Vauxhall Corsa,"£8,447",2019,"30,000 miles",Manual,Petrol,5 seats,1 owner(s),3 doors,1.4
Honda Civic,"£27,892",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Toyota Aygo,"£8,240",2018,"48,696 miles",Manual,Petrol,4 seats,1 owner(s),5 doors,1
Renault Megane E Tech,"£24,500",2022,"5,576 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Honda Jazz,"£21,250",2020,"4,156 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Kia Stinger,"£34,750",2022,"10,102 miles",Automatic,Petrol,5 seats,360.7 bhp,5 doors,3.3
Ford Puma,"£13,745",2021,"44,672 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Peugeot 3008,"£21,500",2021,"28,257 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.2
Volkswagen Arteon,"£38,000",2023,"2,880 miles",Semi-automatic,Hybrid,5 seats,214.6 bhp,5 doors,1.4
Volkswagen Taigo,"£20,500",2023,"2,142 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Volkswagen Taigo,"£25,700",2023,"3,511 miles",Automatic,Petrol,5 seats,147.5 bhp,5 doors,1.5
Volkswagen ID.4,"£43,500",2023,10 miles,Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Toyota Aygo,"£9,749",2019,"11,840 miles",Manual,Petrol,4 seats,3 owner(s),5 doors,1
Nissan Qashqai,"£19,245",2022,"10,730 miles",Manual,Hybrid,5 seats,1 owner(s),5 doors,1.3
Hyundai i10,"£16,070",Not reported,10 miles,Semi-automatic,Petrol,5 seats,65.7 bhp,Not reported,1
Hyundai i20,"£19,499",2023,"1,650 miles",Manual,Hybrid,5 seats,99.2 bhp,5 doors,1
Volkswagen Golf,"£23,495",2021,"28,830 miles",Semi-automatic,Hybrid,5 seats,2 owner(s),5 doors,1.4
Honda Jazz,"£19,600",2022,"4,402 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
SEAT Arona,"£12,745",2019,"28,050 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Nissan Leaf,"£16,000",2021,"11,996 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Dacia Jogger,"£16,573",2023,"8,803 miles",Manual,Petrol,7 seats,1 owner(s),5 doors,1
Renault Captur,"£9,454",2018,"32,000 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,0.9
Peugeot 308,"£10,823",2017,"59,677 miles",Semi-automatic,Diesel,5 seats,3 owner(s),5 doors,2
Peugeot 3008,"£25,029",2021,"12,106 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,1.5
Volkswagen T-Roc,"£17,495",2019,"19,475 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Volkswagen Polo,"£12,895",2018,"29,429 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,N/A
Citroen C3 Aircross,"£11,900",2020,"28,814 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Citroen C5 Aircross,"£17,800",2021,"16,447 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,1.5
Audi Q2,"£13,874",2018,"48,502 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.4
Peugeot 208,"£18,554",2022,"1,682 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Hyundai Tucson,"£14,301",2020,"36,936 miles",Manual,Diesel,5 seats,1 owner(s),5 doors,1.6
Renault Captur,"£10,157",2019,"27,311 miles",Manual,Diesel,5 seats,2 owner(s),5 doors,1.5
